,name,company,year,Price,kms_driven,fuel_type
0,Mini Cooper S,Mini,2002,270000,72197,Petrol
1,Jaguar XE Prestige,Jaguar,2020,1525000,110704,Petrol
2,Jeep Compass Longitude,Jeep,2019,169000,52224,Diesel
3,Maruti Suzuki Swift,Maruti,2015,56000,89294,Diesel
4,Chevrolet Beat LT,Chevrolet,2004,25000,99695,Petrol
5,Volkswagen Polo Highline,Volkswagen,2016,72000,140668,Petrol
6,Fiat Linea Active,Fiat,2022,85000,162241,Diesel
7,Hyundai Eon Era,Hyundai,2011,66000,21016,Petrol
8,Audi Q3 35,Audi,2007,454000,97140,Diesel
9,Jaguar XE Prestige,Jaguar,2021,1880000,166555,Petrol
10,Audi A8,Audi,2010,580000,167872,Petrol
11,Hyundai Eon Era,Hyundai,2003,25000,82794,Diesel
12,Mitsubishi Lancer 1.8,Mitsubishi,2008,34000,171919,Diesel
13,Audi A6 2.0,Audi,2010,912000,36703,Petrol
14,Mitsubishi Lancer 1.8,Mitsubishi,2020,107000,104800,Diesel
15,Jeep Compass Limited,Jeep,2004,46000,12451,Petrol
16,Jaguar XF Portfolio,Jaguar,2021,3228000,16753,Diesel
17,Jeep Compass Limited,Jeep,2019,225000,3109,Petrol
18,Volkswagen Vento Highline,Volkswagen,2018,143000,27994,Diesel
19,Tata Nano Lx,Tata,2013,56000,42449,Petrol
20,Ford EcoSport Ambiente,Ford,2011,46000,62870,Petrol
21,Mahindra Scorpio SLE,Mahindra,2017,134000,18243,Petrol
22,Mercedes GLA 200d,Mercedes,2007,702000,69583,Diesel
23,Land Rover Freelander,Land,2011,826000,104693,Diesel
24,Ford Figo,Ford,2009,47000,16884,Diesel
25,Mitsubishi Pajero Sport,Mitsubishi,2002,30000,18710,Petrol
26,Chevrolet Beat LT,Chevrolet,2018,76000,62491,Diesel
27,Honda Brio S,Honda,2020,93000,151150,Diesel
28,BMW 3 Series,BMW,2005,600000,25509,Diesel
29,Hyundai Grand i10,Hyundai,2003,25000,105644,Diesel
30,Tata Nano Lx,Tata,2019,63000,117701,Petrol
31,Renault Duster 110,Renault,2016,46000,144364,Petrol
32,Maruti Suzuki Swift,Maruti,2009,42000,43697,CNG
33,Datsun GO T,Datsun,2007,25000,99445,Petrol
34,Audi Q3 35,Audi,2015,857000,145791,Diesel
35,Hyundai Tucson 2WD,Hyundai,2019,123000,16079,Diesel
36,Jeep Compass Longitude,Jeep,2003,29000,133224,Petrol
37,Mahindra XUV500 W8,Mahindra,2014,84000,31527,Petrol
38,Volvo S60 D4,Volvo,2015,982000,172426,Diesel
39,Land Rover Discovery,Land,2009,785000,69729,Diesel
40,Audi Q3 35,Audi,2004,613000,2541,Diesel
41,Ford EcoSport Titanium,Ford,2019,104000,55977,Diesel
42,Mahindra XUV500 W8,Mahindra,2013,67000,74807,Diesel
43,Skoda Octavia Elegance,Skoda,2022,118000,138758,Petrol
44,Jaguar XE Prestige,Jaguar,2006,651000,69428,Petrol
45,Honda Jazz V,Honda,2011,42000,158652,Petrol
46,Mini Cooper D,Mini,2018,1166000,128165,Diesel
47,Mahindra KUV100 K8,Mahindra,2010,67000,11657,Diesel
48,Volkswagen Vento Highline,Volkswagen,2016,69000,144719,Diesel
49,Land Rover Freelander,Land,2019,3008000,9544,Diesel
50,Honda City 1.5,Honda,2011,50000,95691,Petrol
51,Renault Duster 110,Renault,2013,46000,146870,Diesel
52,Renault Kwid RXT,Renault,2007,25000,108180,Petrol
53,BMW X1 sDrive20d,BMW,2009,740000,70041,Petrol
54,Hyundai Venue SX,Hyundai,2009,44000,52416,Diesel
55,Renault Kwid RXT,Renault,2002,25000,173123,Petrol
56,Mahindra Bolero SLE,Mahindra,2013,50000,168260,Petrol
57,Fiat Linea Active,Fiat,2002,25000,30336,Diesel
58,Volkswagen Polo Highline,Volkswagen,2005,25000,156487,Diesel
59,BMW X1 sDrive20d,BMW,2018,2273000,30415,Diesel
60,Hyundai i10 Sportz,Hyundai,2002,25000,136393,Petrol
61,Jaguar XF Portfolio,Jaguar,2021,2393000,82391,Petrol
62,Skoda Octavia Elegance,Skoda,2015,77000,85606,Diesel
63,Tata Nexon XZ,Tata,2023,106000,99490,Petrol
64,Fiat Punto Active,Fiat,2011,35000,75312,Petrol
65,Mini Cooper D,Mini,2016,917000,115911,Diesel
66,Toyota Yaris VX,Toyota,2004,29000,74492,Diesel
67,Renault Triber RXZ,Renault,2009,34000,52300,Petrol
68,Mercedes GLA 200d,Mercedes,2004,396000,119484,Diesel
69,Land Rover Discovery,Land,2017,1285000,104866,Petrol
70,Ford Freestyle Titanium,Ford,2015,80000,57467,Petrol
71,Audi A4 35,Audi,2019,1723000,65425,Petrol
