name,company,year,Price,kms_driven,fuel_type
Mini Cooper S,Mini,2002,"2,70,000","72,197 kms",Petrol
Jaguar XE Prestige,Jaguar,2020,"15,25,000","1,10,704 kms",Petrol
Jeep Compass Longitude,Jeep,2019,"1,69,000","52,224 kms",Diesel
Maruti Suzuki Swift Dzire Vdi,Maruti,2015,"56,000","89,294 kms",Diesel
Chevrolet Beat LT,Chevrolet,2004,"25,000","99,695 kms",Petrol
Volkswagen Polo Highline 1.2L,Volkswagen,2016,"72,000","1,40,668 kms",Petrol
Fiat Linea Active,Fiat,2022,"85,000","1,62,241 kms",Diesel
Hyundai Eon Era Plus,Hyundai,2011,"66,000","21,016 kms",Petrol
Audi Q3 35 TDI,Audi,2007,"4,54,000","97,140 kms",Diesel
Jaguar XE Prestige,Jaguar,2021,"18,80,000","1,66,555 kms",Petrol
Audi A8,Audi,2010,"5,80,000","1,67,872 kms",Petrol
Hyundai Eon Era Plus,Hyundai,2003,"25,000","82,794 kms",Diesel
Mitsubishi Lancer 1.8 GLX,Mitsubishi,2008,"34,000","1,71,919 kms",Diesel
Audi A6 2.0 TDI,Audi,2010,"9,12,000","36,703 kms",Petrol
Mitsubishi Lancer 1.8 GLX,Mitsubishi,2020,"1,07,000","1,04,800 kms",Diesel
Jeep Compass Limited,Jeep,2004,"46,000","12,451 kms",Petrol
Jaguar XF Portfolio,Jaguar,2021,"32,28,000","16,753 kms",Diesel
Jeep Compass Limited,Jeep,2019,"2,25,000","3,109 kms",Petrol
Volkswagen Ameo Highline 1.5,Volkswagen,2005,Ask For Price,"77,039 kms",Diesel
Volkswagen Vento Highline Diesel,Volkswagen,2018,"1,43,000","27,994 kms",Diesel
Tata Nano Lx,Tata,2013,"56,000","42,449 kms",Petrol
Ford EcoSport Ambiente 1.5L TDCi,Ford,2011,"46,000","62,870 kms",Petrol
Mahindra Scorpio SLE BS IV,Mahindra,2017,"1,34,000","18,243 kms",Petrol
Mercedes GLA 200d,Mercedes,2007,"7,02,000","69,583 kms",Diesel
Land Rover Freelander 2,Land,2011,"8,26,000","1,04,693 kms",Diesel
Ford Figo,Ford,2009,"47,000","16,884 kms",Diesel
Mitsubishi Pajero Sport 4x2,Mitsubishi,2002,"30,000","18,710 kms",Petrol
Chevrolet Beat LT,Chevrolet,2018,"76,000","62,491 kms",Diesel
Honda Brio S MT,Honda,2020,"93,000","1,51,150 kms",Diesel
BMW 3 Series 320d,BMW,2005,"6,00,000","25,509 kms",Diesel
Hyundai Grand i10 Magna 1.2 Kappa VTVT,Hyundai,2003,"25,000","1,05,644 kms",Diesel
Tata Nano Lx,Tata,2019,"63,000","1,17,701 kms",Petrol
Renault Duster 110 PS RxL,Renault,2016,"46,000","1,44,364 kms",Petrol
Maruti Suzuki Swift Vdi,Maruti,2009,"42,000","43,697 kms",CNG
Datsun GO T,Datsun,2007,"25,000","99,445 kms",Petrol
Audi Q3 35 TDI,Audi,2015,"8,57,000","1,45,791 kms",Diesel
Hyundai Tucson 2WD AT GLS,Hyundai,2019,"1,23,000","16,079 kms",Diesel
Jeep Compass Longitude,Jeep,2003,"29,000","1,33,224 kms",Petrol
Mahindra XUV500 W8,Mahindra,2014,"84,000","31,527 kms",Petrol
Volvo S60 D4,Volvo,2015,"9,82,000","1,72,426 kms",Diesel
Land Rover Discovery Sport,Land,2009,"7,85,000","69,729 kms",Diesel
Audi Q3 35 TDI,Audi,2004,"6,13,000","2,541 kms",Diesel
Ford EcoSport Titanium 1.5L TDCi,Ford,2019,"1,04,000","55,977 kms",Diesel
Mahindra XUV500 W8,Mahindra,2013,"67,000","74,807 kms",Diesel
Skoda Octavia Elegance 1.8 TSI,Skoda,2022,"1,18,000","1,38,758 kms",Petrol
Jaguar XE Prestige,Jaguar,2006,"6,51,000","69,428 kms",Petrol
Honda Jazz V,Honda,2011,"42,000","1,58,652 kms",Petrol
Mini Cooper D,Mini,2018,"11,66,000","1,28,165 kms",Diesel
Mahindra KUV100 K8,Mahindra,2010,"67,000","11,657 kms",Diesel
Volkswagen Vento Highline Diesel,Volkswagen,2016,"69,000","1,44,719 kms",Diesel
Land Rover Freelander 2,Land,2019,"30,08,000","9,544 kms",Diesel
Honda City 1.5 S MT,Honda,2011,"50,000","95,691 kms",Petrol
Renault Duster 110 PS RxL,Renault,2013,"46,000","1,46,870 kms",Diesel
Renault Kwid RXT,Renault,2007,"25,000","1,08,180 kms",Petrol
BMW X1 sDrive20d,BMW,2009,"7,40,000","70,041 kms",Petrol
Hyundai Venue SX,Hyundai,2009,"44,000","52,416 kms",Diesel
Renault Kwid RXT,Renault,2002,"25,000","1,73,123 kms",Petrol
Mahindra Bolero SLE,Mahindra,2013,"50,000","1,68,260 kms",Petrol
Fiat Linea Active,Fiat,2002,"25,000","30,336 kms",Diesel
Volkswagen Polo Highline 1.2L,Volkswagen,2005,"25,000","1,56,487 kms",Diesel
BMW X1 sDrive20d,BMW,2018,"22,73,000","30,415 kms",Diesel
Hyundai i10 Sportz,Hyundai,2002,"25,000","1,36,393 kms",Petrol
Jaguar XF Portfolio,Jaguar,2021,"23,93,000","82,391 kms",Petrol
Skoda Octavia Elegance 1.8 TSI,Skoda,2015,"77,000","85,606 kms",Diesel
Tata Nexon XZ Plus,Tata,2023,"1,06,000","99,490 kms",Petrol
Fiat Punto Active,Fiat,2011,"35,000","75,312 kms",Petrol
Mini Cooper D,Mini,2016,"9,17,000","1,15,911 kms",Diesel
Toyota Yaris VX,Toyota,2004,"29,000","74,492 kms",Diesel
Renault Triber RXZ,Renault,2009,"34,000","52,300 kms",Petrol
Mercedes GLA 200d,Mercedes,2004,"3,96,000","1,19,484 kms",Diesel
Land Rover Discovery Sport,Land,2017,"12,85,000","1,04,866 kms",Petrol
Ford Freestyle Titanium,Ford,2015,"80,000","57,467 kms",Petrol
Audi A4 35 TDI,Audi,2019,"17,23,000","65,425 kms",Petrol
Jaguar XF Portfolio,Jaguar,2016,"13,19,000","1,60,703 kms",Diesel
Toyota Yaris VX,Toyota,2017,"91,000","1,18,083 kms",Diesel
Volkswagen Jetta Comfortline TDI,Volkswagen,2022,"1,60,000","62,816 kms",Diesel
Renault Triber RXZ,Renault,2012,"39,000","83,909 kms",Petrol
Land Rover Freelander 2,Land,2008,"9,91,000","16,937 kms",Diesel
BMW 3 Series 320d,BMW,2008,"5,64,000","1,10,238 kms",Diesel
Land Rover Freelander 2,Land,2020,"17,84,000","99,814 kms",Diesel
Datsun redi-GO T,Datsun,2019,"51,000","1,43,265 kms",Petrol
Mercedes C-Class C220d,Mercedes,2014,"11,54,000","88,214 kms",Diesel
Honda Civic 1.8 V MT,Honda,2019,"1,63,000","7,169 kms",Diesel
Mahindra KUV100 K8,Mahindra,2006,"25,000","1,21,131 kms",Diesel
Tata Nexon XZ Plus,Tata,2012,"39,000","88,573 kms",Diesel
BMW 5 Series 520d,BMW,2004,"3,50,000","1,23,388 kms",Petrol
Nissan Micra XV,Nissan,2022,"1,63,000","18,087 kms",Petrol
Tata Indica V2 DLS,Tata,2021,"1,08,000","40,046 kms",Petrol
Mitsubishi Pajero Sport 4x2,Mitsubishi,2016,"91,000","67,272 kms",Diesel
Land Rover Freelander 2,Land,2007,"6,46,000","81,636 kms",Petrol
Mitsubishi Lancer 1.8 GLX,Mitsubishi,2014,"87,000","52,090 kms",Petrol
Renault Duster 110 PS RxL,Renault,2011,"35,000","1,79,474 kms",Petrol
Hyundai Verna 1.6 SX,Hyundai,2019,"73,000","1,12,396 kms",Diesel
Maruti Suzuki Ertiga VDI,Maruti,2017,"1,06,000","27,766 kms",CNG
Audi A6 2.0 TDI,Audi,2015,"14,23,000","46,273 kms",Diesel
Mercedes E-Class E220d,Mercedes,2015,"9,79,000","1,55,413 kms",Diesel
Mahindra Bolero SLE,Mahindra,2016,"98,000","64,027 kms",Diesel
Chevrolet Beat LT,Chevrolet,2017,"55,000","85,300 kms",Petrol
Volkswagen Ameo Highline 1.5,Volkswagen,2010,"39,000","1,56,378 kms",Diesel
Tata Indica V2 DLS,Tata,2009,"28,000","1,06,642 kms",Diesel
Mercedes GLA 200d,Mercedes,2017,"10,62,000","1,17,586 kms",Petrol
Land Rover Freelander 2,Land,2011,"7,88,000","1,74,153 kms",Diesel
BMW X1 sDrive20d,BMW,2019,"17,76,000","86,814 kms",Diesel
Volkswagen Vento Highline Diesel,Volkswagen,2005,"32,000","50,584 kms",Diesel
Land Rover Freelander 2,Land,2008,"7,95,000","56,823 kms",Diesel
Jeep Compass Limited,Jeep,2005,"46,000","50,986 kms",Diesel
